ID,POINT_X,POINT_Y,NBR_ACC,ACC_2022,ACC_2023,FATAL_ACC,SEVERE_ACC,SEV3_ACC,SEV4_ACC,NBR_INJ,NBR_KILLED
809,-118.4702497,34.06589508,1,1,1,0,0,0,0,2,0
185,-118.2915522,34.01834488,3,3,3,0,0,3,3,4,0
206,-118.3816582,34.07567215,1,1,1,0,0,0,0,0,0
268,-118.3699173,34.04404831,1,1,1,0,0,0,0,0,0
714,-118.2695421,33.94252396,1,1,1,0,0,0,0,0,0
303,-118.3730121,34.20118332,1,1,1,0,0,0,0,0,0
401,-118.2245526,34.05483627,1,1,1,0,0,0,0,0,0
404,-118.2874742,33.97363663,1,1,1,0,0,0,0,0,0
221,-118.2274121,34.07172394,2,2,2,0,0,0,0,0,0
476,-118.4702497,34.06589508,1,1,1,0,0,0,0,2,0
411,-118.2564724,33.95923615,1,1,1,0,1,0,0,2,0
882,-118.2695421,33.94252396,1,1,1,0,0,0,0,0,0
734,-118.2247343,34.09247208,1,1,1,0,1,0,0,1,0
96,-118.2247343,34.09247208,1,1,1,0,1,0,0,1,0
676,-118.2391822,34.05526352,2,2,2,0,1,1,1,4,0
860,-118.1768784,34.07732391,1,1,1,0,0,0,0,2,0
507,-118.3746821,34.02183533,1,1,1,0,1,0,0,2,0
145,-118.5448522,34.26451492,1,1,1,0,1,0,0,2,0
664,-118.5448522,34.26451492,1,1,1,0,1,0,0,2,0
221,-118.2589529,34.06118012,1,1,1,0,0,0,0,0,0
697,-118.5624843,34.24274445,1,1,1,0,0,0,0,1,0
887,-118.5972362,34.26752472,1,1,1,0,0,0,0,0,0
76,-118.4159723,34.28112412,1,1,1,0,1,0,0,1,0
805,-118.1726168,34.08279419,1,1,1,0,0,0,0,1,0
884,-118.1726168,34.08279419,1,1,1,0,0,0,0,1,0
399,-118.5098622,34.19387436,1,1,1,0,1,0,0,1,0
340,-118.5098622,34.19387436,1,1,1,0,1,0,0,1,0
979,-118.655412,34.18510437,1,1,1,0,0,0,0,0,0
641,-118.2615021,33.7889061,1,1,1,0,0,1,1,1,0
498,-118.318041,34.09074402,1,1,1,0,1,0,0,1,0
